ID,built per tick,by product,by product built per tick,by product,by product built per tick,time per tick (seconds),built form,components,how many?,components,how many?,components,how many?,components,how many?,components,how many?,components,how many?
Solid fuel,1,,,,,2,Chemical plant (1.0),Heavy oil,20,,,,,,,,,,
Solid fuel,1,,,,,2,Chemical plant (1.0),Light oil,10,,,,,,,,,,
Rocket fuel,1,,,,,30,Assembling machine (1.0),Light oil,10,Solid fuel,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Speed module,1,,,,,15,Assembling machine (1.0),Advanced circuit,5,Electronic circuit,5,,,,,,,,
Rocket control unit,1,,,,,30,Assembling machine (1.0),Processing unit,1,Speed module,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Rocket part,1,,,,,3,Rocket silo,Low density structure,1,Processing unit,1,Rocket fuel,1,,,,,,
,,,,,,,,,,,,,,,,,,,
Construction robot,1,,,,,0.5,Assembling machine (1.0),Flying robot frame,1,Electronic circuit,2,,,,,,,,
Logistic robot,1,,,,,0.5,Assembling machine (1.0),Flying robot frame,1,Advanced circuit,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fast transport belt,1,,,,,0.5,Assembling machine (1.0),Transport belt,1,Iron gear wheel,5,,,,,,,,
Express transport belt,1,,,,,0.5,Assembling machine (1.0),Fast transport belt,1,Iron gear wheel,10,Lubricant,20,,,,,,
,,,,,,,,,,,,,,,,,,,
Satellite,1,,,,,5,Assembling machine (1.0),Accumulator,100,Low density structure,100,Processing unit,100,Radar,5,Rocket fuel,50,Solar panel,100
Radar,1,,,,,0.5,Assembling machine (1.0),Electronic circuit,5,Iron gear wheel,5,Iron plate,10,,,,,,
Accumulator,1,,,,,10,Assembling machine (1.0),Battery,5,Iron plate,2,,,,,,,,
Solar panel,1,,,,,10,Assembling machine (1.0),Copper plate,5,Electronic circuit,15,Steel plate,5,,,,,,
,,,,,,,,,,,,,,,,,,,
Assembling machine 1,1,,,,,0.5,Assembling machine (1.0),Electronic circuit,3,Iron gear wheel,5,Iron plate,9,,,,,,
Assembling machine 2,1,,,,,0.5,Assembling machine (1.0),Assembling machine 1,1,Electronic circuit,3,Iron gear wheel,5,Steel plate,2,,,,
Assembling machine 3,1,,,,,0.5,Assembling machine (1.0),Assembling machine 2,2,Speed module,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Splitter,1,,,,,1,Assembling machine (1.0),Electronic circuit,5,Iron plate,5,Transport belt,4,,,,,,
Fast splitter,1,,,,,2,Assembling machine (1.0),Electronic circuit,10,Iron gear wheel,10,Splitter,1,,,,,,
Express splitter,1,,,,,2,Assembling machine (1.0),Advanced circuit,10,Fast splitter,1,Iron gear wheel,10,Lubricant,80,,,,
,,,,,,,,,,,,,,,,,,,
Underground belt,2,,,,,1,Assembling machine (1.0),Iron plate,10,Transport belt,5,,,,,,,,
Fast underground belt,2,,,,,2,Assembling machine (1.0),Iron gear wheel,40,Underground belt,2,,,,,,,,
Express underground belt,2,,,,,2,Assembling machine (1.0),Fast underground belt,2,Iron gear wheel,80,Lubricant,40,,,,,,
,,,,,,,,,,,,,,,,,,,
Long-handed inserter,1,,,,,0.5,Assembling machine (1.0),Inserter,1,Iron gear wheel,1,Iron plate,1,,,,,,
Fast inserter,1,,,,,0.5,Assembling machine (1.0),Electronic circuit,2,Inserter,1,Iron plate,2,,,,,,
Filter inserter,1,,,,,0.5,Assembling machine (1.0),Electronic circuit,4,Fast inserter,1,,,,,,,,
Stack inserter,1,,,,,0.5,Assembling machine (1.0),Advanced circuit,1,Electronic circuit,15,Fast inserter,1,Iron gear wheel,15,,,,
Stack filter inserter,1,,,,,0.5,Assembling machine (1.0),Electronic circuit,5,Stack inserter,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Concrete,10,,,,,10,Assembling machine (1.0),Iron ore,1,Stone brick,5,Water,100,,,,,,
Refined concrete,10,,,,,15,Assembling machine (1.0),Steel plate,1,Iron stick,8,Concrete,20,Water,100,,,,
,,,,,,,,,,,,,,,,,,,
Water,20,,,,,1,Chemical plant (1.0),Ice,1,,,,,,,,,,
Explosives,2,,,,,4,Chemical plant (1.0),Coal,1,Sulfur,1,Water,10,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Metallic asteroid chunk,1,,,,,1,Asteroid collector,,,,,,,,,,,,
Carbonic asteroid chunk,1,,,,,1,Asteroid collector,,,,,,,,,,,,
Oxide asteroid chunk,1,,,,,1,Asteroid collector,,,,,,,,,,,,
Iron ore,20,Metallic asteroid chunk,0.2,,,2,Crusher,Metallic asteroid chunk,1,,,,,,,,,,
Carbon,10,Carbonic asteroid chunk,0.2,,,2,Crusher,Carbonic asteroid chunk,1,,,,,,,,,,
Ice,5,Oxide asteroid chunk,0.2,,,2,Crusher,Oxide asteroid chunk,1,,,,,,,,,,
Metallic asteroid chunk,0.4,Carbonic asteroid chunk,0.2,Oxide asteroid chunk,0.2,2,Crusher,Metallic asteroid chunk,1,,,,,,,,,,
Carbonic asteroid chunk,0.4,Oxide asteroid chunk,0.2,Metallic asteroid chunk,0.2,2,Crusher,Carbonic asteroid chunk,1,,,,,,,,,,
Oxide asteroid chunk,0.4,Metallic asteroid chunk,0.2,Carbonic asteroid chunk,0.2,1,Crusher,Oxide asteroid chunk,1,,,,,,,,,,
Iron ore,10,Copper ore,5,Metallic asteroid chunk,0.05,5,Crusher,Metallic asteroid chunk,1,,,,,,,,,,
Carbon,5,Sulfur,2,Carbonic asteroid chunk,0.05,5,Crusher,Carbonic asteroid chunk,1,,,,,,,,,,
Ice,3,Calcite,2,Oxide asteroid chunk,0.05,5,Crusher,Oxide asteroid chunk,1,,,,,,,,,,
Thruster fuel,75,,,,,2,Chemical plant (1.0),Carbon,2,Water,10,,,,,,,,
Thruster oxidizer,75,,,,,2,Chemical plant (1.0),Iron ore,2,Water,10,,,,,,,,
Thruster fuel,1500,,,,,10,Chemical plant (1.0),Carbon,2,Calcite,1,Water,100,,,,,,
Thruster oxidizer,1500,,,,,10,Chemical plant (1.0),Iron ore,2,Calcite,1,Water,100,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Scrap,1,,,,,0.5,Electric mining drill,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ice,0.05,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Holmium ore,0.01,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Processing unit,0.02,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Advanced circuit,0.03,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Low density structure,0.01,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Solid fuel,0.07,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Steel plate,0.04,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Concrete,0.06,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Battery,0.04,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Stone,0.04,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Iron gear,0.2,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
Copper cable,0.03,,,,,0.4,Scrap recycling,Scrap,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Holmium solution,100,,,,,10,Chemical plant (1.0),Stone,1,Holmium ore,0.5,Water,10,,,,,,
Holmium plate,1,,,,,1,Assembling machine (1.0),Holmium solution,20,,,,,,,,,,
Electromagnetic plant,1,,,,,10,Assembling machine (1.0),Steel plate,50,Processing unit,50,Holmium plate,150,Refined concrete,50,,,,
Electrolyte,15,,,,,2.5,Electromagnetic plant,Stone,1,Heavy oil,10,Holmium solution,10,,,,,,
Superconductor,3,,,,,2.5,Electromagnetic plant,Copper plate,1,Plastic bar,1,Holmium plate,1,Light oil,5,,,,
Supercapacitor,1.5,,,,,5,Electromagnetic plant,Battery,1,Electronic circuit,4,Holmium plate,2,Superconductor,2,Electrolyte,10,,
Electromagnetic science pack,1.5,,,,,5,Electromagnetic plant,Supercapacitor,1,Accumulator,1,Electrolyte,25,Holmium solution,25,,,,
Copper cable,3,,,,,0.25,Electromagnetic plant,Copper plate,1,,,,,,,,,,
Electronic circuit,1.5,,,,,0.25,Electromagnetic plant,Copper cable,3,Iron plate,1,,,,,,,,
Advanced circuit,1.5,,,,,3,Electromagnetic plant,Copper cable,4,Electronic circuit,2,Plastic bar,2,,,,,,
Processing unit,1.5,,,,,5,Electromagnetic plant,Advanced circuit,2,Electronic circuit,20,Sulfuric acid,5,,,,,,
Productivity module,1.5,,,,,7.5,Electromagnetic plant,Advanced circuit,5,Electronic circuit,5,,,,,,,,
Speed module,1.5,,,,,7.5,Electromagnetic plant,Advanced circuit,5,Electronic circuit,5,,,,,,,,
Accumulator,1.5,,,,,5,Electromagnetic plant,Battery,5,Iron plate,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Heavy oil,1200,,,,,1,Offshore pump,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Plastic bar,0.5,Electronic circuit,0.5,Copper cable,1,0.75,Recycler,Advanced circuit,1,,,,,,,,,,
Iron plate,0.475,,,,,0.125,Recycler,Iron gear,1,,,,,,,,,,
Copper plate,0.1333,,,,,0.125,Recycler,Copper cable,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Calcite,1,,,,,0.5,Electric mining drill,,,,,,,,,,,,
Tungsten ore,1,,,,,0.5,Electric mining drill,,,,,,,,,,,,
Sulfuric acid,10,,,,,1,Pumpjack (100%),,,,,,,,,,,,
Lava,1200,,,,,1,Offshore pump,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Molten iron,375,Stone,15,,,4,Foundry,Lava,500,Calcite,1,,,,,,,,
Molten copper,375,Stone,22.5,,,4,Foundry,Lava,500,Calcite,1,,,,,,,,
Molten iron,750,,,,,8,Foundry,Iron ore,50,Calcite,1,,,,,,,,
Molten copper,750,,,,,8,Foundry,Copper ore,50,Calcite,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Iron plate,3,,,,,0.8,Foundry,Molten iron,20,,,,,,,,,,
Copper plate,3,,,,,0.8,Foundry,Molten copper,20,,,,,,,,,,
Steel plate,1.5,,,,,0.8,Foundry,Molten iron,30,,,,,,,,,,
Iron gear wheel,1.5,,,,,0.25,Foundry,Molten iron,10,,,,,,,,,,
Iron stick,6,,,,,0.25,Foundry,Molten iron,20,,,,,,,,,,
Pipe,1.5,,,,,0.25,Foundry,Molten iron,10,,,,,,,,,,
Pipe to ground,3,,,,,0.25,Foundry,Molten iron,50,Pipe,10,,,,,,,,
Concrete,15,,,,,2.5,Foundry,Molten iron,20,Water,100,Stone brick,5,,,,,,
Copper cable,3,,,,,0.25,Foundry,Molten copper,5,,,,,,,,,,
Low density structure,1.5,,,,,3.75,Foundry,Molten copper,250,Molten iron,80,Plastic bar,5,,,,,,
Heavy oil,50,,,,,5,Oil refinery,Coal,10,Calcite,2,Sulfuric acid,25,,,,,,
Steam,10000,,,,,5,Chemical plant (1.0),Calcite,1,Sulfuric acid,1000,,,,,,,,
Water,90,,,,,1,Chemical plant (1.0),Steam,1000,,,,,,,,,,
Carbon,1,,,,,1,Chemical plant (1.0),Coal,2,Sulfuric acid,20,,,,,,,,
Tungsten carbide,1,,,,,1,Assembling machine (1.0),Carbon,1,Tungsten ore,2,Sulfuric acid,10,,,,,,
Tungsten plate,1.5,,,,,2.5,Foundry,Tungsten ore,4,Molten iron,10,,,,,,,,
Metallurgic science pack,1.5,,,,,2.5,Foundry,Tungsten carbide,3,Tungsten plate,2,Molten copper,200,,,,,,
Petroleum gas,10,Heavy oil,90,Light oil,20,1.25,Oil refinery,Coal,10,Heavy oil,25,Steam,50,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Yumako,1,,,,,1,Agricultural tower,,,,,,,,,,,,
Jellynut,1,,,,,1,Agricultural tower,,,,,,,,,,,,
Spoilage,1,,,,,1,Spontaneity,,,,,,,,,,,,
Nutrients,1.5,,,,,1,Biochamber,Nutrients,0.25,Spoilage,10,,,,,,,,
Yumako mash,3,Yumako seed,0.03,,,0.5,Biochamber,Nutrients,0.125,Yumako,1,,,,,,,,
Jelly,6,Jellynut seed,0.03,,,0.5,Biochamber,Nutrients,0.125,Jellynut,1,,,,,,,,
Bioflux,6,,,,,3,Biochamber,Nutrients,0.75,Yumako mash,15,Jelly,12,,,,,,
Nutrients,9,,,,,2,Biochamber,Nutrients,0.5,Yumako mash,4,,,,,,,,
Nutrients,60,,,,,1,Biochamber,Nutrients,0.25,Bioflux,5,,,,,,,,
Pentapod egg,3,,,,,7.5,Biochamber,Nutrients,31.875,Pentapod egg,1,Water,60,,,,,,
Iron bacteria,0.15,Spoilage,6,,,0.5,Biochamber,Nutrients,0.125,Jelly,6,,,,,,,,
Copper bacteria,0.15,Spoilage,6,,,0.5,Biochamber,Nutrients,0.125,Yumako mash,3,,,,,,,,
Iron bacteria,6,,,,,2,Biochamber,Nutrients,0.5,Iron bacteria,1,Bioflux,1,,,,,,
Copper bacteria,6,,,,,2,Biochamber,Nutrients,0.5,Copper bacteria,1,Bioflux,1,,,,,,
Iron ore,1,,,,,1,Spontaneity,Iron bacteria,1,,,,,,,,,,
Copper ore,1,,,,,1,Spontaneity,Copper bacteria,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Rocket fuel,1.5,,,,,5,Biochamber,Nutrients,1.25,Bioflux,2,Jelly,30,Water,30,,,,
Lubricant,30,,,,,1.5,Biochamber,Nutrients,0.375,Jelly,60,,,,,,,,
Plastic bar,4.5,,,,,1,Biochamber,Nutrients,0.25,Bioflux,1,Yumako mash,4,,,,,,
Sulfur,3,,,,,1,Biochamber,Nutrients,0.25,Bioflux,1,Spoilage,5,,,,,,
,,,,,,,,,,,,,,,,,,,
Agricultural science pack,1.5,,,,,2,Biochamber,Nutrients,0.5,Bioflux,1,Pentapod egg,1,,,,,,
Carbon,1.5,,,,,6,Biochamber,Nutrients,1.5,Spoilage,6,,,,,,,,
Coal,1,,,,,2,Chemical plant (1.0),Sulfur,1,Carbon,5,Water,10,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ammoniacal solution,1200,,,,,1,Offshore pump,,,,,,,,,,,,
Ammonia,50,Ice,5,,,1,Chemical plant (1.0),Ammoniacal solution,50,,,,,,,,,,
Solid fuel,1,,,,,1,Chemical plant (1.0),Ammonia,50,Crude oil,20,,,,,,,,
Rocket fuel,1,,,,,10,Chemical plant (1.0),Solid fuel,3,Water,50,Ammonia,500,,,,,,
Ammonia,50,Ice,5,,,0.5,Cryogenic plant,Ammoniacal solution,50,,,,,,,,,,
Solid fuel,1,,,,,0.5,Cryogenic plant,Ammonia,50,Crude oil,20,,,,,,,,
Rocket fuel,1,,,,,5,Cryogenic plant,Solid fuel,3,Water,50,Ammonia,500,,,,,,
Fluorine,10,,,,,1,Pumpjack (100%),,,,,,,,,,,,
Fluoroketone (Hot),50,,,,,5,Cryogenic plant,Solid fuel,1,Lithium,1,Ammonia,50,Fluorine,50,,,,
Fluoroketone (Cold),10,,,,,2.5,Cryogenic plant,Fluoroketone (Hot),10,,,,,,,,,,
Lithium brine,10,,,,,1,Pumpjack (100%),,,,,,,,,,,,
Lithium,5,,,,,10,Cryogenic plant,Holmium plate,1,Ammonia,50,Lithium brine,50,,,,,,
Lithium plate,0.15625,,,,,1,Stone furnace,Lithium,0.3125,Coal,0.0225,,,,,,,,
Lithium plate,0.3125,,,,,1,Steel furnace,Lithium,0.625,Coal,0.0225,,,,,,,,
Lithium plate,0.3125,,,,,1,Electric furnace,Lithium,0.625,,,,,,,,,,
Cryogenic science pack,1,Fluoroketone (Hot),3,,,10,Cryogenic plant,Ice,3,Lithium plate,1,Fluoroketone (Cold),6,,,,,,
